order_id,sale_date,sale_time,order_total_price,order_details_id,quantity,total_price,pizza_id,pizza_category
1,1/1/2015,11:38:36,13.25,1,1,13.25,hawaiian_m,Classic
2,1/1/2015,11:57:40,92,2,1,16,classic_dlx_m,Classic
2,1/1/2015,11:57:40,92,3,1,18.5,five_cheese_l,Veggie
2,1/1/2015,11:57:40,92,4,1,20.75,ital_supr_l,Supreme
2,1/1/2015,11:57:40,92,5,1,16,mexicana_m,Veggie
2,1/1/2015,11:57:40,92,6,1,20.75,thai_ckn_l,Chicken
3,1/1/2015,12:12:28,37.25,7,1,16.5,ital_supr_m,Supreme
3,1/1/2015,12:12:28,37.25,8,1,20.75,prsc_argla_l,Supreme
4,1/1/2015,12:16:31,16.5,9,1,16.5,ital_supr_m,Supreme
5,1/1/2015,12:21:30,16.5,10,1,16.5,ital_supr_m,Supreme
6,1/1/2015,12:29:36,24.75,11,1,12.75,bbq_ckn_s,Chicken
6,1/1/2015,12:29:36,24.75,12,1,12,the_greek_s,Classic
7,1/1/2015,12:50:37,12.5,13,1,12.5,spinach_supr_s,Supreme
8,1/1/2015,12:51:37,12.5,14,1,12.5,spinach_supr_s,Supreme
9,1/1/2015,12:52:01,143.25,15,1,12,classic_dlx_s,Classic
9,1/1/2015,12:52:01,143.25,16,1,12,green_garden_s,Veggie
9,1/1/2015,12:52:01,143.25,17,1,20.5,ital_cpcllo_l,Classic
9,1/1/2015,12:52:01,143.25,18,1,20.75,ital_supr_l,Supreme
9,1/1/2015,12:52:01,143.25,19,1,12.5,ital_supr_s,Supreme
9,1/1/2015,12:52:01,143.25,20,1,12,mexicana_s,Veggie
9,1/1/2015,12:52:01,143.25,21,1,20.75,spicy_ital_l,Supreme
9,1/1/2015,12:52:01,143.25,22,1,20.75,spin_pesto_l,Veggie
9,1/1/2015,12:52:01,143.25,23,1,12,veggie_veg_s,Veggie
10,1/1/2015,13:00:15,41,24,1,20.25,mexicana_l,Veggie
10,1/1/2015,13:00:15,41,25,1,20.75,southw_ckn_l,Chicken
11,1/1/2015,13:02:59,73.5,26,1,20.75,bbq_ckn_l,Chicken
11,1/1/2015,13:02:59,73.5,27,1,20.75,cali_ckn_l,Chicken
11,1/1/2015,13:02:59,73.5,28,1,16.75,cali_ckn_m,Chicken
11,1/1/2015,13:02:59,73.5,29,1,15.25,pepperoni_l,Classic
12,1/1/2015,13:04:41,70.75,30,1,20.75,cali_ckn_l,Chicken
12,1/1/2015,13:04:41,70.75,31,1,12.75,cali_ckn_s,Chicken
12,1/1/2015,13:04:41,70.75,32,1,20.75,ckn_pesto_l,Chicken
12,1/1/2015,13:04:41,70.75,33,1,16.5,ital_supr_m,Supreme
13,1/1/2015,13:11:55,20.25,34,1,20.25,mexicana_l,Veggie
14,1/1/2015,13:14:19,12,35,1,12,the_greek_s,Classic
15,1/1/2015,13:33:00,63.25,36,1,12,big_meat_s,Classic
15,1/1/2015,13:33:00,63.25,37,1,18.5,five_cheese_l,Veggie
15,1/1/2015,13:33:00,63.25,38,1,20.75,soppressata_l,Supreme
15,1/1/2015,13:33:00,63.25,39,1,12,the_greek_s,Classic
16,1/1/2015,13:34:07,50.7,40,1,17.95,four_cheese_l,Veggie
16,1/1/2015,13:34:07,50.7,41,1,12,napolitana_s,Classic
16,1/1/2015,13:34:07,50.7,42,1,20.75,thai_ckn_l,Chicken
17,1/1/2015,13:53:00,184.5,43,1,20.75,bbq_ckn_l,Chicken
17,1/1/2015,13:53:00,184.5,44,1,16.25,calabrese_m,Supreme
17,1/1/2015,13:53:00,184.5,45,1,18.5,five_cheese_l,Veggie
17,1/1/2015,13:53:00,184.5,46,1,14.75,four_cheese_m,Veggie
17,1/1/2015,13:53:00,184.5,47,1,16.5,ital_supr_m,Supreme
17,1/1/2015,13:53:00,184.5,48,1,12.75,ital_veggie_s,Veggie
17,1/1/2015,13:53:00,184.5,49,2,32,mediterraneo_m,Veggie
17,1/1/2015,13:53:00,184.5,50,1,20.25,mexicana_l,Veggie
17,1/1/2015,13:53:00,184.5,51,1,12.5,peppr_salami_s,Supreme
